Fecha,Suma de Gastos,Suma de Ingresos,País_FK,Producto_FK
01/01/2017,86964.68044077136,130447.02066115703,1,1
01/01/2017,28193.277804045185,44777.55886524823,1,2
01/01/2017,77039.77074361182,122357.28294573643,1,3
01/01/2017,326567.36896551726,394602.23750000005,1,4
01/01/2017,215226.2084984937,265278.8151260504,1,5
01/01/2017,69217.99417813397,81152.13110539845,1,6
01/01/2017,56708.15250882961,66319.7037815126,1,7
01/01/2017,146212.46351851852,232219.795,2,1
01/01/2017,35570.370390008255,62932.19376693767,2,2
01/01/2017,73857.3426981182,135405.12827988339,2,3
01/01/2017,493775.6741713571,566389.743902439,2,4
01/01/2017,417526.50010101014,464439.59,2,5
01/01/2017,131971.90535519127,152275.27540983606,2,6
01/01/2017,73914.6069657832,88128.95445920304,2,7
01/01/2017,496249.54460966535,771943.7360594795,3,1
01/01/2017,178722.20763851533,290423.5874125874,3,2
01/01/2017,459663.23187603767,746952.7517985612,3,3
01/01/2017,2784616.963601533,3146255.5303030303,3,4
01/01/2017,1478137.7233676976,1648038.611111111,3,5
01/01/2017,443869.09566489165,521740.8668341709,3,6
01/01/2017,343227.8760330578,419500.7373737374,3,7
01/01/2017,65050.31487383799,114794.67330677291,4,1
01/01/2017,19973.388985879334,36987.75738125802,4,2
01/01/2017,43124.362583148555,87845.9237804878,4,3
01/01/2017,252509.28851902176,313189.8152173913,4,4
01/01/2017,197809.54747725397,246268.91452991456,4,5
01/01/2017,70749.2222157264,92647.79099678456,4,6
01/01/2017,39867.68465408806,54365.02452830189,4,7
01/01/2017,27508.67222222222,47157.72380952381,5,1
01/01/2017,9913.035035035036,15744.23211446741,5,2
01/01/2017,17940.438405797104,31740.77564102564,5,3
01/01/2017,108183.9233570314,125355.97468354431,5,4
01/01/2017,61510.07453416149,71761.7536231884,5,5
01/01/2017,21905.018594041616,25327.677749360617,5,6
01/01/2017,18300.01222459133,21115.398720682304,5,7
01/01/2017,38905.68847758081,60519.959854014596,6,1
01/01/2017,12938.207282184656,21563.678803641094,6,2
01/01/2017,35562.89307598039,60964.95955882353,6,3
01/01/2017,267238.13677685946,301499.43636363634,6,4
01/01/2017,142135.4485714286,165824.69,6,5
01/01/2017,38643.57635316361,45934.817174515236,6,6
01/01/2017,29501.051332118364,33098.74051896207,6,7
01/01/2017,1286874.3092031425,2043859.196969697,7,1
01/01/2017,458435.70773152076,840465.4641744548,7,2
01/01/2017,1021725.905122583,1559476.38150289,7,3
01/01/2017,5499456.189784442,6131577.590909091,7,4
01/01/2017,3771249.87311828,4496490.233333333,7,5
01/01/2017,1198077.9898026315,1419944.2842105264,7,6
01/01/2017,878033.731803845,986432.957952468,7,7
01/01/2017,17966.9911971831,30800.55633802817,8,1
01/01/2017,8619.085724221875,13689.136150234743,8,2
01/01/2017,17591.46907993967,28586.13725490196,8,3
01/01/2017,88046.90870786516,98284.9213483146,8,4
01/01/2017,82601.15730337078,93057,8,5
01/01/2017,21637.17421670385,25879.757396449702,8,6
01/01/2017,13712.421652991796,16629.958174904943,8,7
01/01/2017,57466.598835427525,93383.22310756972,9,1
01/01/2017,21464.45879120879,33389.158119658125,9,2
01/01/2017,47251.41549071618,72120.58153846154,9,3
01/01/2017,345555.26011994004,404123.9482758621,9,4
01/01/2017,164646.01053658538,187513.51200000002,9,5
01/01/2017,60488.22967741935,75610.28709677419,9,6
01/01/2017,38548.41578829334,42928.91758241758,9,7
01/01/2017,3422161.51016697,5766279.467680609,10,1
01/01/2017,1158337.809300823,1951777.9936936938,10,2
01/01/2017,2676874.7697334294,4370407.787319885,10,3
01/01/2017,14859178.412642356,17039679.812359553,10,4
01/01/2017,9215479.602334218,10605115.415384617,10,5
01/01/2017,4119140.3223449686,4460386.780882353,10,6
01/01/2017,2906941.7317180526,3076128.8166328603,10,7
01/01/2017,71958.81652173914,119931.36086956522,11,1
01/01/2017,21959.26325780772,38851.00422535212,11,2
01/01/2017,53457.77713178295,80186.66569767441,11,3
01/01/2017,460140.5153643547,540866.9215686275,11,4
01/01/2017,176316.87896096832,213831.1085271318,11,5
01/01/2017,75715.60780859519,87016.44479495268,11,6
01/01/2017,50198.23655584182,55838.48785425101,11,7
01/01/2017,149529.50569800573,237488.0384615385,12,1
01/01/2017,56389.85388127854,84584.7808219178,12,2
01/01/2017,113528.50051072522,208135.5842696629,12,3
01/01/2017,837304.3677455357,992360.732142857,12,4
01/01/2017,389593.4726190476,463101.675,12,5
01/01/2017,154358.81765699037,184625.25249169435,12,6
01/01/2017,86636.03135284947,110701.59561752988,12,7
01/01/2017,10643.245423728813,17738.742372881356,13,1
01/01/2017,4133.843388960206,6717.495507060334,13,2
01/01/2017,10701.286298568508,16051.92944785276,13,3
01/01/2017,75048.52542372882,88693.71186440678,13,4
01/01/2017,31814.790749576725,35841.979452054795,13,5
01/01/2017,12373.130853517878,15390.967647058824,13,6
01/01/2017,9577.235978223098,10789.544329896908,13,7
01/01/2017,32004.398119122252,48848.81818181818,14,1
01/01/2017,11518.478027867097,17277.717041800643,14,2
01/01/2017,22185.134183363694,35235.2131147541,14,3
01/01/2017,152918.03952569168,195395.2727272727,14,4
01/01/2017,96448.49028768133,109660.61224489794,14,5
01/01/2017,30051.471182227746,34225.28662420382,14,6
01/01/2017,16377.88364696528,19938.293135435993,14,7
01/01/2017,1547905.1338235294,2345310.8088235296,15,1
01/01/2017,329918.36036931816,679607.109375,15,2
01/01/2017,743712.1696633238,1370898.0085959886,15,3
01/01/2017,4192075.548571429,5695754.821428572,15,4
01/01/2017,3353851.541509081,4389389.036697248,15,5
01/01/2017,1079029.1078373017,1265723.2936507936,15,6
01/01/2017,801450.2609442059,1026702.5858369098,15,7
01/01/2017,35725.68574074074,49772.62719298245,16,1
01/01/2017,12035.92621212121,18757.287603305784,16,2
01/01/2017,26079.620062111808,41568.34798534799,16,3
01/01/2017,92574.78938076923,113481.59,16,4
01/01/2017,89948.01999002992,96170.83898305085,16,5
01/01/2017,36402.53601298701,36844.67207792208,16,6
01/01/2017,22395.48315169367,23398.265979381446,16,7
01/01/2017,86542.06003081663,152558.11864406778,17,1
01/01/2017,45164.424804733724,69237.91538461538,17,2
01/01/2017,93299.99312130177,133149.8372781065,17,3
01/01/2017,626108.2648798228,661833.0147058823,17,4
01/01/2017,299929.05397418485,351598.7890625,17,5
01/01/2017,122117.42218934913,133149.8372781065,17,6
01/01/2017,81087.0863265306,98911.30769230769,17,7
01/01/2017,43765.48277389278,62621.51748251748,18,1
01/01/2017,16345.347777108434,26972.52108433735,18,2
01/01/2017,40462.47480602464,57219.66134185303,18,3
01/01/2017,213945.86516746413,235654.65789473683,18,4
01/01/2017,171246.2830769231,192578.00000000003,18,5
01/01/2017,55009.482688011914,56676.43670886076,18,6
01/01/2017,27598.408284225083,32386.535262206147,18,7
01/01/2017,238940.79066666664,386427.1547169811,19,1
01/01/2017,105028.91897435898,159506.53582554517,19,2
01/01/2017,229154.00503496506,344791.9057239057,19,3
01/01/2017,1297327.0874690723,1280039.9500000002,19,4
01/01/2017,874365.7504615387,975268.5333333334,19,5
01/01/2017,287182.50596578023,298551.5918367347,19,6
01/01/2017,178744.31734234237,197689.56756756757,19,7
01/01/2017,94047.75730143538,170713.75087719297,20,1
01/01/2017,44841.86082949309,74736.43471582182,20,2
01/01/2017,108438.58672583825,155940.4455128205,20,3
01/01/2017,441584.7584892942,501581.6391752577,20,4
01/01/2017,500049.02861111116,540593.5444444445,20,5
01/01/2017,129057.19124413143,132932.8387978142,20,6
01/01/2017,92720.47806941238,92850.03625954199,20,7
01/01/2017,18567.837931034483,29472.758620689656,21,1
01/01/2017,8794.785940683721,13545.324881141047,21,2
01/01/2017,19437.104110054348,33387.109375,21,3
01/01/2017,129133.16262755102,152626.7857142857,21,4
01/01/2017,60298.131767449624,61935.507246376816,21,5
01/01/2017,18790.734924623117,21475.125628140704,21,6
01/01/2017,19146.99694323144,18661.7903930131,21,7
01/01/2017,195783.80503086423,285275.9166666667,22,1
01/01/2017,72424.84507227334,103464.0643889619,22,2
01/01/2017,157208.0907214765,264215.27852348995,22,3
01/01/2017,765888.0337272726,874846.1444444444,22,4
01/01/2017,691637.7823458903,703001.3660714285,22,5
01/01/2017,194096.45933969182,208849.2122015915,22,6
01/01/2017,141077.23707210267,150547.13766730402,22,7
01/01/2017,136969.529346,234229.6394557823,23,1
01/01/2017,56337.240803400004,97402.4243281471,23,2
01/01/2017,166503.78531583826,236644.37800687284,23,3
01/01/2017,1046329.9976876596,1059438.676923077,23,4
01/01/2017,461686.6214891164,533825.6899224806,23,5
01/01/2017,160791.28198937667,182661.84084880634,23,6
01/01/2017,142909.22627441314,145897.2754237288,23,7
01/01/2017,52011.29085310344,68271.11666666667,24,1
01/01/2017,12027.940434240885,20793.23350253807,24,2
01/01/2017,40855.032265154885,55542.60338983051,24,3
01/01/2017,265926.0125137778,273084.4666666667,24,4
01/01/2017,115692.66679004524,126038.98461538462,24,5
01/01/2017,42016.389861279466,41376.43434343435,24,6
01/01/2017,30646.126894533343,33644.90349075975,24,7
01/01/2017,55270.708632493006,77438.8781512605,25,1
01/01/2017,21947.197936906596,28224.277182235837,25,2
01/01/2017,45749.18614984675,63553.28620689655,25,3
01/01/2017,213751.36740681823,209436.9659090909,25,4
01/01/2017,138207.4802141236,141772.71538461538,25,5
01/01/2017,50368.9814727471,53576.898255813954,25,6
01/01/2017,43044.346098764276,40241.16375545851,25,7
01/01/2017,25116.98083029039,38098.195571955715,26,1
01/01/2017,10085.849053776436,15596.08912386707,26,2
01/01/2017,23867.95777886435,32569.75078864353,26,3
01/01/2017,121896.77480464941,125909.89024390244,26,4
01/01/2017,71818.67113967215,76478.6,26,5
01/01/2017,29476.41891784079,30912.00898203593,26,6
01/01/2017,20187.2754872165,19855.021153846155,26,7
01/01/2017,731391.0325998359,1231676.679245283,27,1
